pmid,title,abstract,year,query
41505625,Comprehensive Analysis of Autophagy-Related Gene Profiles and Immune Characteristics in Parkinson's Disease.,"Parkinson's disease (PD) is a progressive neurodegenerative disorder characterized by dopaminergic neuronal loss and α-synuclein pathology, yet the role of autophagy in PD and its translational relevance remain incompletely defined. Here, we integrated GEO transcriptomic data sets (GSE7621, GSE20141, and GSE20163) to identify autophagy-related biomarkers and to delineate their biological context. Differentially expressed genes (DEGs) were intersected with autophagy genes curated in the Human Autophagy Database to derive autophagy-related DEGs, followed by Gene Ontology and KEGG analyses. Biomarkers were prioritized using three complementary machine-learning approaches and validated in an independent cohort (GSE49036), with a nomogram constructed for PD risk estimation. We further profiled biomarker-associated programs using gene set enrichment analysis, ceRNA network inference, and immune-cell infiltration assessment, and evaluated expression changes in an MPTP-induced PD mouse model. We identified 2177 DEGs across discovery data sets, and intersection with 232 autophagy genes yielded 29 autophagy-related DEGs. Machine-learning analyses nominated six hub genes (PEX14, VEGFA, BECN1, LAMP1, CXCR4, and ATF6), among which external validation robustly supported PEX14 and LAMP1. Enrichment analyses linked these markers to immune and inflammation pathways, including cytokine-cytokine receptor interaction, antigen processing and presentation, and hematopoietic cell lineage, and suggested concomitant shifts in immune infiltration. Consistently, MPTP-treated mice exhibited decreased PEX14 and increased LAMP1 expression. Together, our findings identify PEX14 and LAMP1 as autophagy-related biomarkers in PD, connecting autophagy with immune-related signaling and supporting their potential utility for biomarker-based PD risk prediction and therapeutic stratification.",2026,Parkinson's disease machine learning biomarkers
41503301,Open-Loop and Closed-Loop Neuromodulation Across Neurological Disorders Toward Personalized Brain Stimulation: A Narrative Review.,"Neurological and psychiatric disorders such as Parkinson's disease, essential tremor, epilepsy, Tourette's syndrome, depression, and chronic pain remain major causes of disability worldwide. For patients who fail to respond to medication, neuromodulation, particularly deep-brain stimulation (DBS), has become a cornerstone therapy. Traditional open-loop DBS delivers continuous stimulation using pre-set parameters, yielding substantial clinical benefits but also limitations, including side effects, energy inefficiency, and lack of adaptability to dynamic brain states. These drawbacks have motivated the development of closed-loop, or adaptive, DBS systems, which incorporate real-time biomarkers to adjust stimulation in response to neural or physiological signals. Emerging clinical studies demonstrate that closed-loop approaches can improve symptom control in selected disorders, while consistently reducing stimulation time and prolonging device longevity. Despite promising results, outcomes remain heterogeneous across patients, largely due to variability in biomarkers, algorithms, and methodological approaches. Ethical considerations and technical challenges also remain significant barriers to widespread implementation. This narrative review synthesizes evidence on open- and closed-loop neuromodulation across neurological and psychiatric disorders, emphasizing their comparative advantages, limitations, and translational challenges. We highlight the role of biomarkers, adaptive algorithms, and machine learning in shaping personalized neuromodulation and argue that closed-loop stimulation represents a paradigm shift toward precision medicine. Ultimately, the integration of robust biomarkers, predictive algorithms, and scalable clinical frameworks will be critical to realizing the full potential of closed-loop neuromodulation in transforming brain stimulation therapies.",2025,Parkinson's disease machine learning biomarkers
41493977,Integrative multi-omics and network-based machine learning for early diagnosis of Parkinson's disease.,"Accurate diagnosis of Parkinson's Disease (PD) remains challenging due to its biological complexity. Integrating machine learning with multi-omics and network topological analyses may enhance diagnostic precision. To classify early-stage PD patients and healthy controls (HCs) by integrating multi-omics data and network-based machine learning. We analyzed 305 participants from the PPMI cohort (213 PD, 92 HCs) using DNA methylation, gene expression, and proteomic data. Feature selection was conducted through sPLS-DA, followed by integration via DIABLO. Regulatory gene networks were constructed using STRING-based topology analysis. An XGBoost classifiers were trained and optimized on 244 samples and validated on 61 independent samples. Furthermore, we conducted external validation using data from 26 participants (12 PD, 14 HCs) in the GEO dataset, incorporating DNA methylation and gene expression profiles. DIABLO-based integration identified 56 CpG sites, 61 genes, and 70 proteins. Network topology analysis revealed 59 key regulators. Among three XGBoost models-based on multi-omics signatures, topological regulators, and their combination-the multi-omics model achieved the best test-set performance (AUC 0.72, 95%CI 0.51-0.85, accuracy 0.74, 95%CI 0.61-0.82). Within the validation set, the topological regulators model achieved the superior performance (AUC 0.57, 95%CI 0.37-0.73, accuracy 0.62, 95%CI 0.38-0.73). Combining machine learning with integrative multi-omics and network topology analysis enables effective biomarker identification and PD classification, with strong potential for clinical diagnostic applications.",2026,Parkinson's disease machine learning biomarkers
41487420,Predicting cognitive impairment in Parkinson's disease: a machine learning approach based on clinical and neuropsychological data.,"Cognitive impairment is a common and disabling non-motor symptom of Parkinson's disease, markedly diminishing quality of life and elevating caregiver burden. Although considerable research has been conducted, the early prediction of cognitive impairment remains challenging owing to heterogeneous clinical presentations, variations in treatment adherence, and the inherent limitations in sensitivity of conventional biomarkers and cognitive assessment tools. A retrospective cohort study involving 514 Parkinson's disease patients who had complete baseline data and a minimum of 6 months of follow-up. Participants were randomly allocated into a training cohort (<i>n</i> = 359) and a test cohort (<i>n</i> = 155). Demographic, clinical, biochemical, and neuropsychological variables were obtained at baseline. Cognitive impairment was defined based on Mini-Mental State Examination scores falling below education-adjusted thresholds and further validated using the Montreal Cognitive Assessment. Multiple machine learning models-including Random Forest, Logistic Regression, Gradient Boosting, CatBoost, and Support Vector Machine-were developed and evaluated using the area under the receiver operating characteristic curve, accuracy, recall, F1-score, calibration, and decision curve analysis. Feature importance analysis was performed to identify key predictive variables. During follow-up, patients who developed cognitive impairment were significantly older and had longer disease duration, lower levels of albumin, hematocrit, and blood lipids, as well as a higher prevalence of hypertension. Feature selection identified: Age, Platelet count, Time from diagnosis to baseline visit, Apolipoprotein B, and Hematocrit as the predictors. The Random Forest model demonstrated the best overall performance, with the area under the receiver operating characteristic curve = 0.846, accuracy = 0.75, and an F1-score = 0.775, followed by CatBoost and Logistic Regression. Calibration and decision curve analyses confirmed stable probability estimation and superior clinical utility of Random Forest compared with ""treat all"" or ""treat none"" strategies. Further use the Montreal Cognitive Assessment score to verify the stability of the model. Machine learning models integrating multimodal clinical and neuropsychological data demonstrate high accuracy in predicting cognitive impairment in Parkinson's disease, with Random Forest emerging as the most reliable approach. This framework provides a practical tool for early risk stratification, potentially enabling timely interventions and individualized management to reduce the burden of cognitive decline in Parkinson's disease.",2025,Parkinson's disease machine learning biomarkers
41477166,"A lightweight cerebrospinal fluid biomarker-based model for first-diagnosis prediction of Parkinson's disease: model development, external validation, and local deployment.","Despite substantial progress in biomarker research, Parkinson's disease (PD) still lacks widely validated, easily deployable diagnostic tests for reliable early-stage detection, particularly in resource-limited circumstances. This study aimed to develop and externally validate a lightweight machine learning model for the first-diagnosis prediction of PD using baseline cerebrospinal fluid (CSF) biomarkers from the Parkinson's Progression Markers Initiative (PPMI). Baseline CSF data from 665 participants (PD = 415, controls = 190, SWEDD = 60) were used. Five machine learning classifiers-L2-regularized logistic regression (L2-LR), random forest (RF), histogram-based gradient boosting (HistGB), support vector machine with RBF kernel (SVM-RBF), and multilayer perceptron (MLP)-were trained and compared. Feature selection focused on five core CSF biomarkers (Aβ42, α-synuclein, total tau, phosphorylated tau181 and hemoglobin). Model performance was evaluated using AUC, PR-AUC, and Brier scores, followed by isotonic calibration and independent validation using the University of Pennsylvania dataset. A lightweight, biomarker-based RF model effectively distinguishes first-diagnosis PD cases using limited baseline CSF indicators. Its offline Streamlit deployment offers a practical tool for resource-limited settings, bridging the gap between computational prediction and real-world neurological diagnosis.",2025,Parkinson's disease machine learning biomarkers
41477136,Applications of Artificial Intelligence in Neurological Voice Disorders.,"Neurological voice disorders, such as Parkinson's disease, laryngeal dystonia, and stroke-induced dysarthria, significantly impact speech production and communication. Traditional diagnostic methods rely on subjective assessment, whereas artificial intelligence (AI) offers objective, noninvasive, and scalable solutions for voice analysis. This review examines the applications, advancements, challenges, and future prospects of AI-driven methods in diagnosing, monitoring, and treating neurological voice disorders. We analyze recent advances in AI-based voice analysis, including machine learning, deep learning and signal processing techniques, and evaluate their effectiveness based on existing literature. AI models have demonstrated high accuracy in detecting subtle voice impairments, enabling early diagnosis of voice disorders, and predicting treatment response. Deep learning methods, particularly convolutional and transformer-based networks, have been effective in extracting meaningful biomarkers from acoustic or other modality data. Despite these promising advances, challenges remain, including limited high-quality data sets on some rare neurological voice disorders, ethical concerns regarding patient privacy, and the need for broad clinical validation. Further research should focus on developing standardized data sets, improving the ability of the AI model to learn representations, and enhancing its generalizability. With further development, AI-driven data analysis has the potential to transform the early detection and management of neurological voice disorders.",2025,Parkinson's disease machine learning biomarkers
41471079,Artificial Intelligence in Biomedicine: A Systematic Review from Nanomedicine to Neurology and Hepatology.,"<b>Background/Objectives:</b> This review evaluates the expanding contributions of artificial intelligence (AI) across biomedicine, focusing on cancer therapy and nanomedicine, cardiology and medical imaging, neurodegenerative disorders, and liver disease. Core AI concepts (machine learning, deep learning, artificial neural networks, model training/validation, and explainability) are introduced to frame application domains. <b>Methods:</b> A systematic search of major biomedical databases (2010-2025) identified English-language original studies on AI in these four areas; 203 articles meeting PRISMA 2020 criteria were included in a qualitative synthesis. <b>Results:</b> In oncology and nanomedicine, AI-driven methods expedite nanocarrier design, predict biodistribution and treatment response, and enable nanoparticle-enhanced monitoring. In cardiology, algorithms enhance ECG interpretation, coronary calcium scoring, automated image segmentation, and noninvasive FFR estimation. For neurological disease, multimodal AI models integrate imaging and biomarker data to improve early detection and patient stratification. In hepatology, AI supports digital histopathology, augments intraoperative robotics, and refines transplant wait-list prioritization. Common obstacles are highlighted, including data heterogeneity, lack of standardized acquisition protocols, model transparency, and the scarcity of prospective multicenter validation. <b>Conclusions:</b> AI is emerging as a practical enabler across these biomedical fields, but its safe and equitable use requires harmonized data, rigorous multicentre validation, and more transparent models to ensure clinical benefit while minimizing bias.",2025,Parkinson's disease machine learning biomarkers
41469039,Evaluating multivariable prediction models for Parkinson's disease prognosis: a scoping review protocol.,"Parkinson's disease (PD) is a neurodegenerative disorder characterised by heterogeneous motor symptoms, non-motor symptoms and rates of disease progression; phenotype and prognosis vary by individual. Although researchers have attempted to predict clinical outcomes using biomarkers and other variables, there are limited data on the development, validation and clinical utility of multivariable prediction models for individual prognostication in PD. In this protocol, we will develop a method for identifying, reviewing and appraising existing PD prognostic models in order to summarise the current literature, identify knowledge gaps and inform future research. This scoping review will be guided by the methodological principles outlined in the Preferred Reporting Items for Systematic Review and Meta-Analysis extension for Scoping Reviews. We will include all multivariable models that predict disease progression in individuals with PD using traditional statistical methods or machine learning. We will exclude models that only report performance measures for one variable (ie, univariable models) or only provide effect estimates (eg, OR, HR). A detailed search of peer-reviewed research publications will be performed through 2025 using the following electronic databases: PubMed, EMBASE, Web of Science and Scopus. Article data will be extracted using Covidence. Two independent reviewers will screen articles by title and abstract for relevance, and a third reviewer will resolve any discrepancies. The remaining full-text articles will also be screened by two independent reviewers, and a third reviewer will resolve any discrepancies. Results from multivariable prediction models meeting inclusion criteria will be summarised using narrative synthesis and organised by clinical outcome. Models will also be appraised using Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis + Artificial Intelligence (TRIPOD+AI) and Prediction model Risk Of Bias ASsessment Tool (PROBAST) guidelines to identify deficiencies and areas of future study. Ethical approval is not required for this scoping review. Findings will help clinicians make evidence-based decisions to improve prognostication in PD. Findings can also be used to inform the development and validation of additional multivariable clinical prediction models in PD. The results of this scoping review will be disseminated through peer-reviewed publications, research reports and presentations at relevant conferences.",2025,Parkinson's disease machine learning biomarkers
41467326,"Integration of Volumetric, Iron, and Neuromelanin Magnetic Resonance Imaging Measures Effectively Differentiates Parkinson's Disease from Multiple System Atrophy.","Differentiating Parkinson's disease (PD) from multiple system atrophy (MSA), especially the parkinsonian variant (MSA-P), remains challenging. Diagnostic inaccuracy contributes to suboptimal clinical outcomes. Therefore, clinically accessible biomarkers are warranted to support differential diagnosis in routine practice. The aim was to develop a multimodal imaging model combining T1-weighted (T1W) volumetry, quantitative susceptibility mapping, and neuromelanin (NM) magnetic resonance imaging (MRI) for distinguishing PD from MSA subtypes. A total of 387 participants were analyzed, comprising 141 with PD, 86 with MSA (51 cerebellar variant [MSA-C], 35 MSA-P), and 160 age- and sex-matched healthy controls. Group comparisons were performed for brain volumetry, susceptibility in deep gray matter, spatial heterogeneity of putaminal iron, NM content in the substantia nigra pars compacta (SNpc), and locus coeruleus (LC). Classification was conducted using a Gaussian Naïve Bayes classifier with fivefold cross-validation. Compared with PD and controls, (1) corrected volumes of the brainstem, bilateral cerebellar white matter, and gray matter were significantly reduced in MSA-C and MSA-P, (2) susceptibility was increased in the bilateral putamen in MSA-P and in the bilateral dentate nucleus in MSA-C, and (3) NM contrast was reduced in the bilateral SNpc in MSA-P and in the bilateral LC in MSA-C. The multimodal models yielded area under the curve values of 0.967 (PD vs. MSA-C), 0.884 (PD vs. MSA-P), and 0.879 (PD vs. MSA-P vs. MSA-C). Integration of volumetric, susceptibility, and NM measures with machine learning enables accurate differentiation of PD from MSA subtypes, which provides a potential means to differentiate parkinsonism in clinical practice. © 2025 International Parkinson and Movement Disorder Society.",2026,Parkinson's disease machine learning biomarkers
41463615,Constructing Artificial Features with Grammatical Evolution for the Motor Symptoms of Parkinson's Disease.,"People with Parkinson's disease often show changes in their movement abilities during the day, especially around the time they take medication. Being able to record these variations in an objective way can help doctors adapt treatment and follow disease changes more closely. A methodology for quantitative motor assessment is proposed in this work. It employs data from a custom SmartGlove equipped with inertial sensors. A multi-method feature selection scheme is developed, integrating statistical significance, model-based importance, and variance contribution. The most significant features were retained, and higher-level artificial features were generated using Grammatical Evolution (GE). The framework combines multi-criteria feature selection with evolutionary feature construction, providing a compact and interpretable representation of motor behavior. Additionally, the framework highlights nonlinear and composite features as potential digital biomarkers for Parkinson's monitoring. The method was validated on recordings collected from Parkinson's patients before and after medication intake. The recordings have been retrieved during four standardized hand motor tasks targeting tremor, bradykinesia, rigidity, and general movement anomalies. The proposed method was compared with five existing machine learning models based on artificial neural networks. GE-based features reduced classification errors to 10-19%, outperforming baseline models. Furthermore, the proposed methodology performs prediction and recall 80-88%.",2025,Parkinson's disease machine learning biomarkers
41459340,Machine learning methods for the detection and prediction of cognitive impairment in Parkinson's disease: a systematic review and meta-analysis.,"Cognitive impairment in Parkinson's disease (PD-CI) is a prevalent non-motor symptom, significantly diminishing quality of life and imposing a substantial family burden. Effective predictive tools are currently scarce, and the diagnostic pathway is intricate. With the growing use of artificial intelligence in healthcare, machine learning (ML) methodologies have been explored for the diagnosis and early risk prediction of PD-CI; however, their efficacy and accuracy necessitate systematic evaluation. Consequently, this investigation undertook a systematic review and meta-analysis. A comprehensive literature retrieval was conducted across Web of Science, PubMed, Embase, and Cochrane Library, encompassing studies published from database inception to August 10, 2025. The PROBAST tool facilitated quality appraisal, ultimately incorporating 52 publications, of which 25 addressed diagnosis and 27 focused on risk prediction. Findings indicated that within the validation cohorts, ML models for PD-CI diagnosis achieved a c-index of 0.82, with a sensitivity of 0.57 and specificity of 0.77. For PD-CI risk prediction, the c-index reached 0.83, accompanied by a sensitivity of 0.77 and specificity of 0.76. These results suggest that ML exhibits considerable accuracy in both the diagnosis and risk prediction of PD-CI. The models primarily incorporated variables such as clinical data, genetic characteristics, biomarkers, neuroimaging, and radiomics, and no overt signs of overfitting were detected. This research provides an evidence-based foundation for the future development of PD-CI risk prediction and intelligent diagnostic tools, thereby promoting the advancement and application of ML within Parkinson's disease and related domains. https://www.crd.york.ac.uk/PROSPERO/, ID: CRD42023453586.",2025,Parkinson's disease machine learning biomarkers
41444408,Comparison of multi-miRNA models from donor-matched plasma and cerebrospinal fluid as candidate biomarkers for Alzheimer's disease prediction.,"We discovered and validated miRNA biomarkers for Alzheimer's disease (AD) in human cerebrospinal fluid (CSF). However, as more easily accessible biofluids are preferred for clinical assays, we compared the performance of the AD miRNAs in CSF to plasma to determine their potential use as AD biomarkers in this readily available biofluid. We obtained 320 donor- and date-matched normal control (NC) and AD CSF and plasma samples from the AD Neuroimaging Initiative, then analyzed 57 candidate AD miRNAs in both biofluids by RT-qPCR. For analysis, we divided the sample sets into 80% for discovery and 20% for validation. We then used predictive modeling of the 57 candidate AD miRNAs in the discovery phase to develop AD classifiers for each biofluid that showed similar performance in both CSF and plasma. However, in the validation phase AD classification performance was only maintained for the plasma models. When the plasma miRNA models were combined with clinical predictors (APOE genotype, age, sex, years of education) there was a boost in classification performance to a level comparable to the CSF proteins (Aβ<sub>42</sub>, t-tau, p-tau181) alone, which suggests that plasma miRNA assays combined with clinical information could serve as an alternative to more invasive CSF-based measurements. We also developed a parsimonious model based on two miRNAs that were top ranked and had increased (miR-23a-3p) and decreased (miR-423-5p) expression in AD. The ratio of these top two miRNAs classified AD with similar performance to all 57 miRNAs jointly and was sensitive to changes in cognitive score. These results support that an assay consisting of only two plasma miRNAs can classify AD from NC, and is informative about the disease stage reflected in cognitive scores.",2025,Parkinson's disease machine learning biomarkers
41443379,Wirelessly transmitted subthalamic nucleus signals decode endogenous pain levels in Parkinson's disease patients.,"Pain is a prominent non-motor symptom of Parkinson's disease (PD); it may appear in various levels (elevated or diminished) during waking hours and substantially reduces quality of life. Although subthalamic nucleus (STN) signal analysis has dramatically advanced our comprehension of PD, the roles of bilateral STN, the relevant biomarkers, and objective recognition of the pain levels in PD patients remain less understood. We recorded bilateral STN signals from PD patients implanted with adaptive deep brain stimulation (DBS) systems and collected pain rating series during in-hospital recovery. Patients provided pain annotations prior to surgery that inform the location (specific or non-specific) and PD-association with pain (PD-related or non-PD-related). A machine learning model was trained to classify higher versus lower pain states, from the eight pain annotation series of the six patients, using features derived from STN signals. STN activity significantly classified the pain intensity in the PD-related pain group. Feature analysis indicated that STN activity from both sides can impact pain classification, with gamma and beta bands in the contralateral STN and delta and theta bands in the ipsilateral STN exhibiting a prominent role. Our observational study demonstrates a novel approach to decoding pain states and identifying STN biomarkers linked to PD-related pain.",2026,Parkinson's disease machine learning biomarkers
41443080,Brain atrophy staging in spinocerebellar ataxia type 3 for clinical prognosis and trial enrichment.,"Spinocerebellar ataxia type 3 (SCA3) is characterised by progressive brain atrophy, with regional volume loss detectable via MRI prior to clinical manifestation. We aimed to identify the previously unknown sequence of brain atrophy in SCA3 and evaluate whether this sequence can be translated into an atrophy staging framework to enable accurate clinical prognosis and trial enrichment. We included data from 322 SCA3 mutation carriers, enrolled in observational studies conducted across Europe, the Americas, and Asia. Participants underwent follow-up assessments up to five years after baseline. The Subtype and Stage Inference machine learning algorithm was applied to estimate the most likely atrophy sequence(s) from baseline anatomical MRI. The Scale for the Assessment and Rating of Ataxia (SARA) was used to capture ataxia severity. Atrophy stages were analysed in relation to SARA and time from disease onset. Interventional trials were simulated to estimate required sample sizes under different atrophy stage eligibility criteria. We identified a uniform sequence of brain atrophy in SCA3, characterised by earliest volumetric decline in the caudal brainstem and substantial involvement of the white matter. Atrophy stage was associated with both SARA and time from disease onset. Atrophy staging outperformed single-region volumetrics in predicting SARA over time. Applying atrophy stage cut-offs substantially reduced the sample sizes needed to adequately power hypothetical clinical trials. These findings yield mechanistic insights into the progression of neurodegeneration in SCA3 and possess immediate translational relevance, facilitating patient stratification and sample enrichment for interventional trials. National Ataxia Foundation (NAF).",2026,Parkinson's disease machine learning biomarkers
41442425,Machine Learning Prediction of Rapid Parkinson Disease Progression Using Combined Imaging and Clinical Biomarkers.,"Parkinson disease (PD) is a progressive neurodegenerative disorder with highly variable progression rates. Accurate prediction of rapid disease progression is critical for patient management and clinical trial design. This study evaluates the use of machine learning (ML) models to predict rapid PD progression using integrated clinical and imaging biomarkers. A retrospective analysis was conducted on 683 patients from the Parkinson's Progression Markers Initiative (PPMI). Mixed effects models for longitudinal data were used to determine PD progression rates, with rapid progression of PD (RPPD) defined as exceeding the cohort mean rate of change in either the Movement Disorder Society's Unified Parkinson's Disease Rating Scale (MDS-UPDRS) total score or the lowest Putamen-Specific Binding ratio (SBR) on I-123 Ioflupane single photon emission tomography (SPECT). The minimum redundancy maximum relevance (MRMR) algorithm identified the most predictive features from a total of 123 features. Support vector machines (SVM) and decision tree (DT) models were trained and evaluated using 5-fold cross-validation and receiver operating characteristic area under the curve (ROC AUC) analysis. A total of 193 patients (135 males and 68 females) were included. The most predictive feature for RPPD was the lowest putamen SBR (MRMR score=0.44, P<0.001). The SVM model achieved an ROC AUC of 0.86 (95% CI: 0.78-0.91) using the 6 highest-ranked MRMR features, whereas the DT model, using only 2 clinically available features (UPDRS total score and lowest putamen SBR), achieved an ROC AUC of 0.81 (95% CI: 0.73-0.86). Machine learning models, particularly SVM, demonstrate strong predictive performance in identifying rapid PD progression using multimodal clinical and imaging biomarkers. The integration of SPECT imaging with clinical assessments improves disease trajectory characterization, potentially supporting personalized treatment strategies and optimizing clinical trial design. Future studies should incorporate additional biomarkers and longer follow-up durations to enhance model generalizability.",2025,Parkinson's disease machine learning biomarkers
41439586,Mapping Regional Brain Aging in Huntington's Disease Using Structural Magnetic Resonance Imaging and Machine Learning.,"Huntington's disease (HD) is a progressive neurodegenerative disorder. Models of brain biological age have shown evidence of accelerated aging relative to chronological age, but they typically rely on a single whole-brain measure. While studies in other neurodegenerative diseases suggest region-specific brain age models can provide deeper insights, this approach remains underexplored in HD. Such regional models could benefit clinical trials, which depend on sensitive biomarkers to monitor therapeutic effects. This study aimed to characterize region-specific patterns of brain aging across Huntington's Disease Integrated Staging System (HD-ISS) stages and evaluate their associations with cognitive, motor, and functional scores. We employed machine learning to train brain age models on structural magnetic resonance imaging data from 1936 controls. These models were applied to 531 persons with HD. Associations between regional brain age gap, HD-ISS stages, and clinical scores were assessed. Whole-brain aging increased progressively at HD-ISS stages 2 and 3. Region-specific analyses revealed the dominance of subcortical, temporal, and parietal aging trajectories, which exhibited significant stage-wise increases in brain age gap. A higher brain age gap in these regions was associated with declines in cognitive, motor, and functional performance. In contrast, insular and frontal regions showed flatter patterns and no significant associations with clinical measures. This study highlights distinct region-specific components of brain aging in HD. Regional analysis provides deeper insights into HD progression and could be employed as a sensitive biomarker for monitoring therapeutic effects in clinical trials. Future work should explore these findings in younger cohorts and investigate network-specific aging with multimodal imaging. © 2025 International Parkinson and Movement Disorder Society.",2025,Parkinson's disease machine learning biomarkers
41422136,Integrative transcriptomic and single-cell analysis reveals mitochondrial-related gene biomarkers in heart failure with preserved ejection fraction.,"Heart failure with preserved ejection fraction (HFpEF) is a clinical syndrome characterized by impaired diastolic function closely associated with mitochondrial dysfunction. This study aims to identify hub genes related to HFpEF and mitochondrial function, and to elucidate their potential mechanisms to offer new insights for therapeutic strategies. Differentially expressed genes (DEGs) from the GSE194151 dataset were intersected with mitochondrial-related genes (MRGs) to identify candidate genes. Machine learning techniques, including LASSO regression, SVM-RFE, and Boruta analysis, were used to select hub genes. A ceRNA regulatory network was constructed. Single-cell RNA sequencing data from GSE236585 were utilized to identify key cell types and analyze cell-cell interactions. Hub gene expression was validated using GSE236584, GSE180065, and RT-qPCR. We identified 336 DEGs and 1136 MRGs, with 9 intersecting candidate genes. Vwa8, Mthfd2, and Decr1 emerged as hub genes through machine learning techniques. Vwa8 localized to the cytoplasm, while Mthfd2 and Decr1 were nuclear. Functional enrichment analysis indicated that Decr1 is involved in the citric acid cycle and Parkinson's disease pathways, Mthfd2 in cardiac muscle contraction and ascorbate and aldolate metabolism, and Vwa8 in primary bile acid biosynthesis and pentose and gluconate interconversion pathways. Single-cell analysis highlighted fibroblasts as key cells with elevated hub gene expression in HFpEF. The ceRNA network included 2 mRNAs, 4 miRNAs, and 10 lncRNAs. Additionally, TF-mRNA analysis identified FOXL1 as a common regulator of Vwa8, Mthfd2, and Decr1. Hub genes showed significant diagnostic potential with high AUC values in both training and validation datasets. RT-qPCR confirmed their upregulation in HFpEF samples. This study identifies Vwa8, Mthfd2, and Decr1 as pivotal hub genes in HFpEF, elucidating their molecular mechanisms and potential as diagnostic biomarkers. These findings provide a valuable basis for developing targeted therapies for HFpEF, underscoring the importance of integrative bioinformatics and experimental approaches.",2025,Parkinson's disease machine learning biomarkers
41420441,Computer Vision Analysis for Objective Motor Assessment in Parkinson's Disease: A Retrospective Study.,"The Movement Disorder Society-Unified Parkinson's Disease Rating Scale-Part III (MDS-UPDRS-III) is subjective and insensitive to subtle changes in patients with Parkinson's disease (PD). Computer vision (CV) can extract objective kinematics from routine outpatient videos, potentially augmenting the accuracy of the motor assessment. We set out to (1) Identify CV-derived finger-tapping features that discriminate PD from healthy controls (HC); and (2) Quantify the relationship of these extracted features with clinical and Dopamine Transporter Single-photon Emission Computed Tomography (DAT-SPECT) anchors in PD patients. We retrospectively analyzed outpatient finger-tapping videos from PD patients with DAT-SPECT positivity within one year from videos and HC. A Mediapipe-based pipeline quantified tapping velocity, changes in amplitude, and variability in amplitude and rhythm. Diagnostic performance was estimated with Receiver Operating Characteristic Area Under the Curves (ROC AUC) and 95% Confidence Interval (CI). Spearman assessed the relationship between tapping features, MDS-UPDRS-III, item 3.4 (finger tapping), and disease duration. Thirty-two PD patients and ten controls were included. Amplitude variability (AUCs, 0.93; 95% CI, 0.84-0.99, P < 0.001), and rhythm variability (AUC, 0.83; 95% CI, 0.69-0.94, P < 0.001) exhibited the best discriminatory capacity for a PD diagnosis. MDS-UPDRS-III correlated positively with amplitude variability (ρ = 0.55, p = 0.001) and amplitude decrement (ρ = 0.414, P = 0.009), and negatively with tapping velocity (ρ = -0.34, P = 0.05). Amplitude variability (ρ = 0.387, P = 0.014), and rhythm variability (ρ = 0.304, P = 0.045) directly correlated with item 3.4, while amplitude variability positively correlated with disease duration (ρ = 0.39, P = 0.026). CV-derived tapping variability features objectively discriminated PD from healthy subjects and tracked motor severity.",2025,Parkinson's disease machine learning biomarkers
41415889,Abnormal subthalamic nucleus functional connectivity and machine learning classification in Parkinson's disease: a multisite functional magnetic resonance imaging study.,"Parkinson's disease (PD) is a progressive neurodegenerative disorder imposing a significant global burden, characterized by motor dysfunction linked to aberrant basal ganglia activity. This multisite study analyzed pooled resting-state functional magnetic resonance imaging (rs-fMRI) data to characterize subthalamic nucleus (STN) functional connectivity (FC) abnormalities and to evaluate their utility in machine learning classification of PD. We analyzed rs-fMRI data from 232 participants (158 PD patients and 74 healthy controls [HCs]) across four repositories: Parkinson's Progression Markers Initiative (PPMI), OpenfMRI, and FCP/INDI (NEUROCON dataset and Tao Wu dataset). Seed-based FC analysis focused on bilateral STNs. Group comparisons (PD vs. HCs) were assessed using two-sample t-tests with Gaussian Random Field (GRF) correction. A support vector machine (SVM) classifier, incorporating significant FC features, was used for diagnostic classification. Patients with PD exhibited significant bilateral reductions in STN FC compared to HCs. Specifically, the left STN showed decreased connectivity with the left superior temporal gyrus and the right supramarginal gyrus, whereas the right STN showed decreased connectivity with the right superior temporal gyrus, the left middle temporal gyrus, and the left inferior frontal gyrus (voxel <i>p</i> < 0.005, cluster <i>p</i> < 0.05, GRF corrected). The SVM classifier based on these FC features achieved high diagnostic accuracy (89.1%), sensitivity (97.7%), specificity (75.8%), and an area under the receiver operating characteristic (ROC) curve (AUC) of 0.931 in the validation set. This study suggests that STN-temporal/parietal hypoconnectivity warrants further investigation as a possible core feature of PD. Furthermore, it demonstrates the high translational potential of STN-centric FC patterns as diagnostic biomarkers when integrated with machine learning, paving the way for improved PD classification and future applications in personalized neuromodulation strategies.",2025,Parkinson's disease machine learning biomarkers
